Year,Month,Commodity,Country,Currency,Price
2006,4,Corn,USA,USD,159.2192994828593
2017,1,Soybeans,China,CNY,179.98528197597807
2013,8,Corn,China,BRL,270.87300035818396
2000,9,Rice,China,USD,98.83228822674394
2022,10,Soybeans,USA,INR,319.12113388605417
2009,5,Soybeans,USA,CNY,381.1643745126876
2005,6,Rice,USA,USD,224.13273339337385
2021,1,Soybeans,China,BRL,197.783893430654
2013,9,Corn,USA,BRL,496.13118720511477
2001,10,Soybeans,India,INR,57.04600586175997
2014,12,Corn,China,INR,294.35268200616406
2000,3,Wheat,USA,CNY,479.2942381862563
2006,2,Rice,India,USD,313.6835717752699
2015,5,Wheat,India,BRL,158.68806755995712
2010,2,Wheat,China,INR,154.79366905952446
2021,9,Wheat,China,BRL,249.06138388898273
2001,4,Soybeans,China,CNY,264.73975554874
2018,8,Corn,China,INR,422.8043295591857
2021,9,Wheat,Brazil,CNY,468.6936446879455
2012,5,Soybeans,India,CNY,389.6250522281109
2005,1,Soybeans,China,BRL,107.70744136956999
2016,3,Rice,USA,INR,98.64073825135031
2002,9,Corn,China,BRL,463.41170991113773
2020,7,Wheat,China,BRL,146.27704793930138
2003,7,Soybeans,China,USD,323.62700573551126
2005,11,Corn,China,BRL,341.89087692154
2007,10,Wheat,India,INR,396.81384540566194
2004,9,Soybeans,Brazil,BRL,194.43143523040516
2001,4,Soybeans,China,BRL,346.9104310069089
2013,1,Corn,Brazil,USD,58.69722998410428
2003,11,Soybeans,USA,INR,95.20427249337719
2017,9,Corn,USA,CNY,288.7633694222794
2000,7,Rice,USA,CNY,257.87057971607703
2012,5,Corn,China,USD,460.8753718654109
2001,11,Rice,India,BRL,424.25876935336646
2000,9,Rice,India,USD,79.95067334794332
2008,6,Corn,USA,INR,140.99279421200953
2003,12,Corn,China,BRL,492.9169227281926
2009,3,Wheat,India,BRL,205.22966014109144
2008,5,Rice,China,INR,468.61444887520025
2006,2,Rice,Brazil,USD,240.73413089830288
2008,9,Corn,USA,BRL,153.78928460579226
2018,10,Rice,China,INR,190.88172779176517
2012,1,Corn,Brazil,USD,376.80765538171266
2018,3,Rice,USA,USD,169.5941983102993
2000,7,Rice,China,CNY,284.62156233097016
2006,7,Soybeans,USA,USD,75.85489847009143
2004,10,Wheat,China,CNY,441.26113395081086
2023,4,Soybeans,USA,BRL,251.15282909175136
2023,8,Wheat,China,INR,332.7844363589248
2006,7,Corn,Brazil,BRL,327.65944884557774
2019,2,Rice,India,CNY,361.88054859654164
2006,2,Rice,Brazil,INR,56.11364564937664
2020,6,Corn,USA,CNY,82.63427028013129
2018,3,Soybeans,China,USD,172.23582403992953
2008,5,Rice,USA,BRL,436.04935683816313
2019,1,Soybeans,USA,BRL,464.8366548583128
2007,1,Wheat,USA,BRL,323.3819616399604
2000,9,Soybeans,Brazil,BRL,220.26576936082662
2000,7,Corn,USA,BRL,131.6474247913706
2009,3,Soybeans,USA,INR,253.73034196320845
2017,3,Corn,China,INR,481.00885640351686
2011,12,Soybeans,India,INR,117.26748548346497
2001,2,Wheat,India,CNY,146.75057314187234
2011,6,Rice,India,BRL,221.06112355974957
2013,2,Corn,Brazil,USD,305.33093819351524
2002,4,Wheat,Brazil,CNY,175.94333099577932
2008,10,Corn,USA,USD,287.2553771172423
2010,4,Wheat,China,CNY,269.2108085117564
2003,5,Wheat,India,USD,408.68242341095896
2006,1,Rice,USA,USD,221.76841167031154
2000,6,Wheat,Brazil,USD,433.9337668314076
2015,1,Soybeans,USA,INR,118.25701456452406
2003,11,Wheat,Brazil,CNY,149.2032764505833
2019,11,Rice,China,INR,428.8434074607887
2004,4,Soybeans,China,INR,484.4640699190298
2014,4,Corn,India,CNY,409.66453030695385
2019,3,Wheat,India,INR,481.8775562744057
2019,6,Rice,USA,INR,88.92580322892468
2022,9,Rice,Brazil,INR,181.13222167120387
